***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
************************************************************************************************************
*NORTHING       EASTING              GIRTH
*************************************FIELD BOOK NO 800-8 ***************************************************
33024.330       27040.237      
32904.075       27283.464            g=5.4
32910.322       27267.866            g=4.4
32916.043       27253.288            g=3.0
32922.318       27238.996            g=3.3
32940.628       27194.839            g=6.0
32946.946       27145.640            g=3.7
32955.137       27131.203            g=5.0
32962.832       27117.801            g=3.7
*************************************FIELD BOOK NO-605-28 ********************************************** 
32925.146       27173.370            g=2.0
32873.847       27370.360            g=5.2
32856.133       27353.957            g=2.7
32894.919       27312.031            g=6.6
32822.482       27461.640            g=3.3
32821.182       27454.450            g=4.5
32825.867       27430.135            g=6.6
32843.601       27406.199            g=3.4
32836.263       27473.004            g=2.6
32851.827       27431.526            g=2.9
32783.779       27567.952            g=2.3
32805.740       27506.642      
32827.156       27523.987      
32717.668       27742.379            g=3.1
32723.535       27727.068            g=3.3
32733.290       27678.232      
32744.666       27669.481            g=9.5
32752.452       27640.555            g=5.1
32760.954       27628.596            g=2.7
32771.699       27599.088            g=3.4
32754.115       27594.527      
32777.735       27584.645            g=4.0
32780.158       27622.639            g=2.1
32775.422       27637.305            g=4.1
32769.062       27650.794            g=5.3
32757.955       27681.225            g=2.3
32671.045       27892.652      
32677.524       27805.770      
32647.394       27923.430            g=5.4
32636.621       27913.557            g=2.6
32643.647       27899.584            g=2.5
32651.102       27885.224            g=2.6
32678.086       27869.667            g=3.2
32695.362       27851.297      
32682.288       27830.823            g=3.6
32689.316       27794.854            g=2.0
32706.279       27813.639            g=7.3
32661.879       27916.226      
32645.546       27951.914      
32645.626       27958.602      
32649.670       27959.397      
32650.021       27968.605      
32622.484       28004.028      
32546.857       28116.338            g=2.9
32551.410       28101.780            g=2.7
32555.908       28086.242            g=3.5
32565.767       28056.429            g=1.8
32571.098       28041.665            g=3.8
32577.177       28027.737            g=2.6
32590.152       27997.271            g=2.7
32597.757       27983.198            g=3.3
32604.046       27970.835            g=2.2
32612.741       27956.123            g=3.4
32620.655       27942.464            g=2.9
32616.583       27980.336            g=2.2
32601.478       28007.566            g=4.3
32589.615       28036.575            g=2.3
32583.865       28051.141            g=3.5
32573.665       28081.197            g=2.8
32558.398       28128.841            g=3.0
32552.785       28144.594            g=3.4
32547.900       28159.708            g=3.7
32527.763       28175.078            g=2.4
32536.653       28146.526            g=1.9
32528.933       28151.392      
32509.973       28282.879            g=4.0
32495.537       28341.462            g=1.8
32498.920       28327.101            g=4.0
32522.602       28239.325            g=3.7
32503.041       28253.572            g=2.0
32495.635       28283.302            g=2.1
32487.213       28311.988            g=6.2
32479.052       28340.948            g=2.1
32506.286       28298.066            g=2.3
32491.396       28355.641            g=2.1
32475.385       28355.144            g=4.5
*************************************FIELD BOOK NO 605-29 ***********************************
32475.632       28483.878            g=2.9
32489.234       28489.150            g=2.5
32447.871       28436.142            g=3.5
32356.240       28673.174            g=3.8
32419.881       28741.533            g=3.6
32394.880       28786.671      
32344.936       28871.561      
32334.222       28830.855            g=4.2
32340.260       28772.480            g=5.4
32349.129       28762.800            g=5.1
************************************************ END ********************************
