***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
************************************************************************************************************
*NORTHING       EASTING              GIRTH
*************************************FIELD BOOK NO 800-8 ***************************************************
40625.250       17079.414            g=3.0
40598.591       17108.809            g=3.6
40560.371       17152.734            g=6.0
40427.545       17289.813            g=2.8
40411.587       17274.814            g=2.8
40405.809       17281.800            g=2.9
40380.645       17343.229            g=2.5
40371.267       17352.780            g=3.5
40363.078       17365.724      
40338.585       17388.800            g=3.7
40367.803       17324.169      
40292.514       17437.848      
40344.404       17352.132      
40294.464       17396.537      
40279.036       17391.506      
*************************************FIELD BOOK NO-800-14 ***********************************************************
40245.746       17464.912            g=10.0
40228.477       17483.612            g=3.1
40194.866       17520.833            g=2.1
40235.826       17499.663            g=3.6
40152.686       17566.737            g=6.4
40298.472       17517.980            g=3.8
40237.841       17509.783      
40225.261       17545.403      
40216.335       17558.594      
40201.807       17536.359            g=2.0
40185.504       17554.331            g=6.4
40181.399       17560.880      
40162.174       17582.408      
40117.764       17629.174            g=4.0
40108.357       17642.448            g=2.0
40069.364       17684.573      
40101.737       17648.130            g=8.5
40116.924       17602.056      
40084.162       17638.668      
40069.754       17658.907      
40062.826       17667.644      
40053.272       17678.455            g=3.7
40044.790       17713.521            g=1.9
40036.480       17721.368            g=5.8
39981.222       17784.547            g=4.8
39962.208       17805.568            g=3.3
39953.094       17816.608            g=5.0
39945.025       17826.167            g=3.8
39927.292       17844.956            g=4.5
39920.602       17828.381            g=3.7
39944.702       17801.051            g=4.0
39987.289       17752.913            g=3.5
40027.238       17708.263            g=5.0
39854.245       17931.225            g=3.7
39820.784       17969.190            g=4.6
39809.799       17981.196            g=6.3
39794.377       18025.395      
39772.196       18023.183            g=3.0
39823.207       17941.113            g=3.7
39813.258       17951.853            g=3.4
39804.434       17961.978      
39792.851       17974.261            g=3.3
39694.099       18095.029            g=5.0
39840.990       17920.879            g=3.8
39857.883       17906.594            g=2.5
39895.815       17858.132            g=4.2
39694.258       18123.708      
39701.840       18126.381      
39705.371       18130.516      
39706.449       18134.591      
39694.493       18161.064      
39682.564       18166.252      
39666.816       18187.965      
39646.405       18188.991      
39648.448       18193.610      
39651.085       18118.623      
39542.431       18298.753            g=2.6
39548.229       18294.434      
39540.060       18301.270      
39526.648       18307.471      
39612.705       18190.933            g=5.0
39533.760       18263.984            g=2.8
39519.484       18281.296      
39504.438       18297.865            g=4.2
39595.694       18211.326            g=3.7
*************************************FIELD BOOK NO-800-15 ***********************************************************
39470.592       18341.981            g=2.1
39457.987       18352.550            g=2.2
39504.304       18328.760            g=2.4
39490.852       18342.016            g=2.7
39479.192       18352.842            g=2.6
39483.668       18369.253            g=2.3
39481.805       18364.672            g=2.4
39484.584       18361.615      
39487.187       18360.656      
39491.091       18354.036      
39494.272       18353.457      
39497.003       18350.502      
39498.375       18348.502      
39505.977       18342.860      
39510.384       18347.528      
39451.706       18400.922      
39447.257       18404.489      
39442.992       18401.862      
39434.607       18419.006      
39432.398       18412.824      
39428.067       18416.848      
39422.853       18366.769      
39415.739       18361.954      
39384.125       18392.788      
39402.449       18397.264            g=4.0
39322.460       18456.103            g=2.5
39184.266       18638.506      
39158.359       18661.547      
39116.106       18718.237      
39134.222       18667.876      
39115.019       18687.532            g=4.1
39093.527       18702.726            g=2.0
39110.030       18699.289            g=1.8
39106.903       18729.558      
39088.238       18947.522            g=2.2
39075.623       18760.719            g=2.2
39004.700       18830.143            g=2.8
38991.091       18843.175            g=1.9
38996.939       18812.829            g=3.5
38976.031       18857.617            g=2.0
38956.744       18881.883      
38902.438       18938.343            g=5.9
38891.609       18957.699            g=4.3
38894.367       18975.252            g=1.8
38881.735       18932.245      
38865.168       18945.812            g=2.3
38829.790       18988.676      
38845.816       18973.042      
38837.924       19002.324      
38759.598       19057.278      
38728.470       19109.293      
38693.173       19137.482            g=1.9
38637.710       19172.024            g=2.8
*************************************FIELD BOOK NO-800-16 *************************************************************
38569.144       19201.473      
38499.955       19269.128            g=2.5
38487.857       19269.823            g=2.6
38489.394       19280.931      
38496.527       19305.973      
38528.247       19272.100      
38526.535       19267.547            g=3.7
38557.936       19231.766            g=2.0
38580.375       19242.070            g=2.0
38582.491       19219.662            g=1.9
38405.574       19359.778      
38387.433       19365.421      
38386.681       19378.631      
38372.031       19395.580      
38360.898       19406.381      
38338.164       19428.009            g=2.3
38332.647       19430.133      
38307.149       19444.297            g=3.1
38297.853       19467.355      
38271.715       19490.438      
38307.046       19478.757            g=1.6
38318.609       19468.750            g=2.5
38351.491       19436.475            g=2.6
38408.918       19413.132            g=2.0
38265.422       19499.584      
38293.683       19502.365            g=2.5
38225.000       19534.983            g=5.0
38247.640       19502.574      
38207.362       19553.470      
38231.959       19550.234      
38178.661       19557.402            g=2.2
38166.807       19589.647            g=1.9
38254.456       19600.222            g=2.2
38181.265       19596.952            g=2.3
38124.350       19641.862      
38082.921       19685.970            g=2.2
38047.683       19725.164      
38007.468       19768.476      
38023.894       19767.520      
38037.697       19736.380      
38040.388       19733.473      
38996.683       19733.102            g=2.2
38020.946       19700.970      
38032.896       19703.809      
38050.889       19689.668            g=2.3
*************************************FIELD BOOK NO-800-17 *************************************************************
37983.960       19780.541            g=2.6
37989.010       19782.020      
37997.205       19764.391      
37959.745       19780.246            g=2.2
37929.361       19811.699            g=2.1
37819.961       19947.996      
37894.919       19849.313            g=2.9
37794.703       19970.825      
37757.147       19987.799            g=1.9
37757.147       19987.799            g=2.3
37730.729       20042.711      
37716.711       20091.506      
37707.495       20094.772      
37694.990       20109.012      
37688.041       20085.432      
37673.064       20076.890            g=2.1
37660.981       20110.973            g=2.4
37650.399       20122.580            g=2.4
37636.138       20137.650            g=2.5
37642.388       20110.763      
37625.418       20148.834            g=2.2
37600.607       20173.525      
37602.651       20151.725            g=2.1
37578.247       20172.328      
37527.215       20214.036            g=1.8
37527.406       20211.680      
37499.675       20232.238            g=2.1
37482.700       20238.172      
37553.261       20223.712            g=1.8
37557.174       20222.691            g=1.8
37421.829       20260.863      
37391.333       20270.708            g=2.5
37414.260       20296.667      
37339.172       20299.782            g=2.0
37399.874       20282.563      
37307.244       20316.122      
37254.212       20321.071            g=2.4
37168.416       20386.804      
37189.407       20384.060      
37038.268       20447.463            g=2.2
37054.250       20455.732            g=2.9
37122.207       20392.066      
37023.719       20497.257            g=3.1
37035.238       20480.031            g=2.5
37036.212       20508.983            g=2.0
37046.731       20493.949            g=2.2
37057.304       20479.458            g=3.7
37065.648       20470.330      
*************************************FIELD BOOK NO-800-18  **************************************************************
37027.409       20523.264      
37001.740       20570.422            g=3.5
36979.355       20571.673            g=3.0
36962.777       20600.393            g=2.9
36981.097       20600.360            g=2.6
36972.629       20619.237            g=2.0
36955.659       20615.309            g=3.3
36934.827       20652.101      
36948.551       20662.822            g=3.0
36920.523       20710.303      
36862.674       20811.288            g=2.0
36840.269       20861.313            g=1.8
36827.706       20871.469            g=2.0
36842.444       20882.932      
36803.676       20857.240            g=2.0
36795.433       20863.975            g=1.8
36791.963       20936.885            g=1.9
36796.485       20892.930      
36782.055       20952.625            g=2.5
36753.937       20974.172            g=1.8
36755.012       21003.280            g=2.4
36763.788       20995.125      
36748.013       21018.968            g=3.0
36738.597       21033.935            g=2.4
36728.905       21018.252            g=2.0
36717.781       21039.096      
36706.199       21061.598            g=2.3
36722.436       21063.848            g=2.2
36698.298       21077.170            g=1.8
36691.014       21090.939            g=2.3
36708.170       21089.934      
36700.932       21102.454            g=1.9
36677.093       21113.476            g=2.3
36689.752       21125.101            g=1.9
36676.006       21148.235            g=3.0
36662.240       21140.945            g=2.5
36667.990       21161.669            g=2.5
36671.937       21169.525      
36653.162       21187.918            g=3.0
36634.933       21185.769            g=1.9
36627.419       21191.753            g=1.9
36588.066       21300.275      
36572.115       21362.362           
36563.419       21338.860      
36531.046       21329.602      
36524.831       21365.980            g=3.7
36543.152       21374.438      
36534.013       21393.161      
36530.393       21394.808      
36525.377       21394.059      
36504.291       21391.563            g=2.9
36519.078       21403.521      
36497.909       21381.367      
36520.376       21405.699            g=2.3
36492.958       21395.130      
36493.880       21431.681            g=2.0
36472.366       21427.947            g=4.3
36461.710       21439.203            g=4.0
36427.733       21474.714            
*************************************FIELD BOOK NO 800-19 ********************************
36416.064       21487.763            g=5.8
36396.757       21533.752            g=2.8
36378.216       21529.518            g=2.8
36390.440       21515.240            g=3.8
36406.959       21497.715            g=2.0
36365.074       21543.009            g=2.4
36353.668       21555.281            g=2.4
36343.647       21567.532            g=2.7
36320.578       21594.715            g=3.7
36307.939       21609.130            g=5.5
36308.957       21630.602            g=2.3
36317.401       21622.272            g=2.9
36295.299       21623.102            g=2.5
36332.327       21604.692      
36336.487       21599.734            g=6.2
36347.734       21586.183            g=2.8
36363.837       21569.446            g=3.7
36372.787       21559.815            g=4.0
36366.410       21580.990            
36281.629       21636.329            g=2.8
36284.012       21659.452            g=2.9
36268.864       21652.467            g=3.0
36248.202       21674.111            g=2.9
36259.071       21683.301            g=2.5
36245.012       21698.560            g=2.2
36237.733       21704.997            g=2.9
36231.490       21712.000            g=3.2
36221.438       21722.258            g=2.2
36225.784       21698.413            g=2.4
36180.642       21725.947      
36200.084       21722.476            g=2.0
36174.846       21749.940            g=2.5
36155.792       21768.516            g=2.4
36210.083       21734.294            
36199.641       21745.598            g=2.6
36173.242       21770.405            g=6.4
36161.296       21783.388           
35955.505       21985.053            g=2.2
35977.830       21964.247            g=2.4
35963.778       21958.280            g=2.8
35977.161       21945.825            g=2.7
36016.947       21926.779            g=1.8
36032.329       21913.530            g=2.4
36014.185       21909.480            g=2.8
36013.682       21903.805           
36020.737       21897.298            g=2.0
36046.569       21900.061            g=2.7
36040.558       21885.375            g=1.8
36068.832       21891.249           
36075.336       21886.549            g=1.9
36052.793       21873.007            g=2.0            
36066.168       21860.596            g=5.2
36090.964       21855.639            g=2.0
36106.232       21842.230            g=4.6
36126.381       21817.822            g=3.6
36112.404       21812.645            g=2.6
36145.806       21778.310            g=4.5
*************************************FIELD BOOK NO 800-20 *********************************
35946.468       22006.174      
35936.096       22018.607      
35942.697       22004.988      
35938.754       22016.435      
35898.744       22073.593      
35903.728       22014.249            g=1.8
35906.111       22007.043      
35908.825       21992.999      
35879.260       22059.704            g=4.8
35872.911       22043.902            g=3.6
35858.837       22079.795            g=4.8
35904.896       22057.106            
35836.812       22105.979      
35802.060       22112.522      
35809.220       22094.843      
35823.984       22097.151      
35772.293       22168.176      
35795.970       22160.677      
35756.311       22179.713            g=2.5
35767.649       22176.605      
35752.428       22200.777            g=2.6
35739.462       22221.045            
35783.287       22199.818      
35735.164       22232.017      
35710.973       22248.804            g=3.2
35750.576       22244.188      
35743.632       22249.075            g=3.0
35719.233       22258.920            g=2.8
35734.481       22264.030            g=2.3
35739.510       22254.796      
35726.567       22277.839            g=6.4
35755.896       22225.689            g=1.9
35670.235       22348.125            g=1.8
35676.039       22338.977            g=2.7
35682.086       22327.471            g=2.2
35660.659       22364.898            g=2.6
35690.484       22312.578            g=2.7
35694.815       22302.522           
35702.649       22290.750            g=2.1
35714.835       22313.699      
35708.951       22317.614      
35627.591       22449.014            g=2.7
35711.621       22304.338            g=2.1
35701.306       22323.388            g=2.7
35632.826       22436.647            g=2.2
35698.920       22328.278            g=2.4
35693.965       22336.052            g=4.4
35656.420       22427.035            g=4.3
35651.986       22410.719            g=1.5
35658.932       22398.464            g=2.8
35664.985       22384.732            g=2.7
35649.344       22383.175            g=2.8
35630.454       22411.609            g=1.8
35627.015       22422.351            g=5.4
35624.126       22405.134            
35597.711       22440.022      
35590.340       22455.576            g=1.5
35663.817       22343.827      
35661.564       22342.022      
35604.091       22450.051            g=2.7
35590.288       22455.482      
35593.392       22466.633      
35591.264       22475.101            g=3.0
35584.687       22481.948            g=1.7
35578.899       22490.441            g=9.0
35567.686       22506.209            g=2.7
35558.574       22516.502      
35549.006       22529.273            g=2.4
35554.994       22508.527            
35553.943       22512.218      
35542.343       22537.312            g=2.2
35528.702       22555.742            g=2.9
35509.649       22581.421            g=8.5
35498.240       22594.728            g=1.8
35569.950       22524.418           
*************************************FIELD BOOK NO 800-21 **********************************
35615.195       22481.326      
35515.504       22611.694            g=2.7
35462.815       22597.288            g=1.8
35505.476       22638.316            
35468.464       22632.529            g=4.2
35459.169       22644.557            g=2.7
35427.428       22666.021           
35468.567       22653.507            g=1.7
35465.793       22662.669            g=2.0
35463.205       22662.813      
35406.301       22668.144      
35463.481       22675.440      
35436.541       22694.551            g=5.8
35428.602       22706.279            g=2.9
35431.717       22674.558            g=2.2
35437.513       22670.655            g=2.5
35337.592       22823.956      
35239.504       22931.901            g=2.7
35235.051       22928.870      
35227.567       22948.817            g=5.8
35209.340       22981.136            g=2.6
35232.342       22969.837            g=5.2
35226.645       22980.506            g=6.0
35184.525       23030.849            g=6.7
35184.855       23066.545      
35177.545       23043.719      
35178.036       23081.659            g=2.4
35172.364       23055.703            g=2.2
35194.380       23087.363            g=2.0
35171.827       23096.512            g=3.3
35143.327       23128.112            g=2.5
35150.441       23109.147            g=2.3
35161.987       23061.192      
35407.188       22710.548            g=2.4
35406.253       22705.677            g=3.9
35399.248       22721.527            g=2.5
35403.807       22757.725      
35400.269       22796.719            g=2.1
35376.909       22771.133            g=2.0
35386.745       22758.179            g=3.0
35360.523       22769.603            g=5.1
35359.188       22794.555            g=2.4
35341.709       22794.000            g=2.4
35350.786       22807.013            g=2.1
35350.341       22816.988      
35333.710       22804.464            g=2.7
35325.909       22816.178            g=3.0
35316.536       22824.815            
35307.516       22834.956            g=3.5
35291.894       22859.786            g=3.5
35381.316       22873.332            g=3.0
35260.249       22900.123            g=5.0
35251.526       22915.602            g=2.6
35240.260       22931.572            g=2.3
*************************************FIELD BOOK NO-800-22 ***************************************
35305.498       22881.626            g=2.2     
35110.503       23267.257            g=9.2
35100.267       23246.593            g=4.2
35106.377       23230.764            g=4.8
35120.756       23236.170            g=3.0
35127.654       23166.890            g=3.8
35142.627       23173.109            g=5.0
35133.788       23149.618            g=5.2
35149.218       23155.437            g=1.8
35153.939       23142.032            g=2.6
35085.288       23244.084            g=2.3
35075.951       23258.080            g=2.7
35051.806       23477.991            g=2.2
35048.783       23494.629            g=1.8
35064.979       23415.615            g=3.4    
35070.714       23398.526            g=6.1
35072.455       23388.459            g=1.8
35075.434       23374.101            g=2.3
35078.306       23364.963            g=2.2
35087.966       23351.150            g=2.2
35086.751       23340.418            g=2.3
35093.979       23324.548            
35098.235       23303.509            g=2.8
35105.169       23298.014            g=2.5
35072.817       23330.375            g=6.6
35062.952       23361.106            g=6.6
35042.870       23525.841            g=1.9
35045.330       23516.440            g=2.7
35008.120       23448.729      
35005.921       23482.790      
35049.811       23410.733      
35045.738       23425.767      
35027.578       23432.725      
35016.558       23509.376            g=1.8
35021.033       23494.029            g=2.0
35044.146       23567.182      
35007.568       23769.114            g=3.0
35011.495       23750.447            g=2.2
35014.412       23728.550            g=3.2
35035.288       23726.012      
35017.478       23704.854            g=2.2
35034.505       23691.224            g=2.0
35026.849       23523.907            g=2.0
35022.189       23542.989      
35014.925       23607.698            g=4.3
35007.067       23659.938            g=3.2
35032.878       23625.548      
*************************************FIELD BOOK NO 800-23 ************************************
35001.924       23708.854            g=2.0
34998.322       23739.271      
34992.081       23739.223            g=3.8
34995.682       23755.083            g=6.5
34993.770       23771.535            g=2.1
35001.884       23797.940            g=1.9
34982.077       23831.434            g=2.0
35004.717       23830.190      
34940.930       24033.589            g=2.6
34933.315       24007.406      
34938.219       24002.511            g=2.8
34948.235       23997.796            g=2.2
34944.378       23958.768            g=1.9
34943.054       23953.414      
34958.881       23952.881            g=2.0
34976.953       23861.547            g=5.7
34970.324       23984.430            g=2.5
34950.953       24066.301            g=1.8
34923.621       24061.416            g=1.7
34916.824       24122.851            g=2.3
34920.587       24108.296            g=2.3
34939.562       24119.312      
34939.981       24114.925      
34934.665       24108.462      
34934.126       24166.168      
34932.558       24170.068      
34928.175       24182.027      
34902.977       24168.662      
34861.843       24231.018      
34853.974       24292.655            g=1.8
34860.019       24255.922      
34875.444       24243.985      
34904.172       24224.722            g=7.0
34772.044       24448.792            g=2.1
34781.692       24487.280            g=3.3
34779.532       24434.666            g=3.5
34792.100       24440.076            g=2.0
34814.935       24398.002      
34801.496       24453.014      
34798.989       24454.030      
34793.969       24465.961      
34850.878       24342.376      
34835.837       24835.837      
34823.704       24425.261      
34822.591       24416.457      
34754.757       24465.884      
34753.090       24464.402      
34740.537       24502.537            g=2.7
34683.309       24572.393      
34677.145       24585.243      
