***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
***********************************************************************************************************************
*NORTHING       EASTING         R.L.            GIRTH
************************************************FIELD BOOK NO 800-8 ***************************************************
41237.555       16357.822       417.726         g=3.4
41212.183       16383.102       418.042         g=2.3
41200.302       16396.394       418.397         g=2.8
41178.053       16419.953       418.902         g=3.5
41158.119       16425.548       419.522
41161.909       16427.911       419.468
41132.919       16469.102       418.902         g=2.6
41211.016       16407.263       419.714         g=3.1
************************************************FIELD BOOK NO-800-12 *********************************************************
41104.478       16499.718       420.106         g=4.0
41093.987       16512.920       420.189
41092.685       16516.660       420.324
41079.924       16528.296       420.385         g=2.5
41135.679       16492.676       419.644         g=2.5
40989.369       16639.127       420.975
40981.214       16652.073       420.647         g=4.6
40970.079       16668.179       420.418         g=2.5
41050.929       16592.452       420.285         g=2.4
40926.218       16742.694       419.776         g=3.7
40914.502       16756.544       419.499         g=3.4
40906.297       16765.314       419.054         g=1.7
40952.516       16714.754       420.511
40497.192       16691.234       420.196         g=6.8
40888.335       16763.102       418.961         g=2.2
40803.249       16849.460       417.657
40815.379       16834.300       417.402
************************************************FIELD BOOK NO-800-13 **********************************************************
40750.660       16908.149       415.534
40730.767       16933.506       415.066         g=3.7
40721.079       16943.850       414.652         g=2.7
40709.624       16956.261       414.711         g=3.5
40732.078       16958.208       414.896         g=5.3
40720.505       16969.486       414.874         g=3.0
40709.127       16982.293       414.115         g=2.4
40687.051       17005.704       414.166
40693.723       17028.225       412.691
40678.328       17017.893       413.109         g=2.6
40667.486       17030.471       413.006         g=1.9
40645.580       17055.415       412.497         g=3.6
40634.946       17067.964       412.288         g=2.5
40625.250       17079.414       412.247         g=3.0
40598.591       17108.809       412.027         g=3.6
40560.371       17152.734       410.974         g=6.0
40427.545       17289.813       409.550         g=2.8
40411.587       17274.814       408.799         g=2.8
40405.809       17281.800       408.082         g=2.9
40380.645       17343.229       409.869         g=2.5
40371.267       17352.780       410.454         g=3.5
40363.078       17365.724       409.496
40338.585       17388.800       409.874         g=3.7
40367.803       17324.169       408.627
40292.514       17437.848       410.690
40344.404       17352.132       409.700
40294.464       17396.537       409.579
40279.036       17391.506       410.629
************************************************FIELD BOOK NO-800-14 ***********************************************************
40245.746       17464.912       412.001         g=10.0
40228.477       17483.612       411.766         g=3.1
40194.866       17520.833       412.687         g=2.1
40235.826       17499.663       411.354         g=3.6
40152.686       17566.737       413.226         g=6.4
40298.472       17517.980       411.742         g=3.8
40237.841       17509.783       410.607
40225.261       17545.403       411.712
40216.335       17558.594       411.920
40201.807       17536.359       412.259         g=2.0
40185.504       17554.331       412.729         g=6.4
40181.399       17560.880       412.049
40162.174       17582.408       412.228
40117.764       17629.174       414.830         g=4.0
40108.357       17642.448       414.947         g=2.0
40069.364       17684.573       416.036
40101.737       17648.130       415.987         g=8.5
40116.924       17602.056       414.054
40084.162       17638.668       415.216
40069.754       17658.907       415.655
40062.826       17667.644       416.051
40053.272       17678.455       416.050         g=3.7
40044.790       17713.521       415.213         g=1.9
40036.480       17721.368       415.706         g=5.8
39981.222       17784.547       415.570         g=4.8
39962.208       17805.568       415.099         g=3.3
39953.094       17816.608       415.229         g=5.0
39945.025       17826.167       415.126         g=3.8
39927.292       17844.956       415.102         g=4.5
39920.602       17828.381       415.582         g=3.7
39944.702       17801.051       415.300         g=4.0
39987.289       17752.913       415.479         g=3.5
40027.238       17708.263       416.205         g=5.0
39854.245       17931.225       416.370         g=3.7
39820.784       17969.190       416.579         g=4.6
39809.799       17981.196       416.258         g=6.3
39794.377       18025.395       414.496
39772.196       18023.183       414.156         g=3.0
39823.207       17941.113       417.270         g=3.7
39813.258       17951.853       416.994         g=3.4
39804.434       17961.978       416.655
39792.851       17974.261       415.964         g=3.3
39694.099       18095.029       411.333         g=5.0
39840.990       17920.879       417.160         g=3.8
39857.883       17906.594       417.323         g=2.5
39895.815       17858.132       416.179         g=4.2
39694.258       18123.708       410.550
39701.840       18126.381       410.980
39705.371       18130.516       410.056
39706.449       18134.591       411.192
39694.493       18161.064       411.032
39682.564       18166.252       410.481
39666.816       18187.965       410.775
39646.405       18188.991       410.046
39648.448       18193.610       409.805
39651.085       18118.623       409.601
39542.431       18298.753       410.827         g=2.6
39548.229       18294.434       410.672
39540.060       18301.270       410.297
39526.648       18307.471       409.646
39612.705       18190.933       408.928         g=5.0
39533.760       18263.984       410.923         g=2.8
39519.484       18281.296       410.130
39504.438       18297.865       410.000         g=4.2
39595.694       18211.326       408.888         g=3.7
************************************************FIELD BOOK NO-800-15 ***********************************************************
39470.592       18341.981       411.335         g=2.1
39457.987       18352.550       411.694         g=2.2
39504.304       18328.760       410.470         g=2.4
39490.852       18342.016       410.922         g=2.7
39479.192       18352.842       411.242         g=2.6
39483.668       18369.253       410.812         g=2.3
39481.805       18364.672       410.972         g=2.4
39484.584       18361.615       410.936
39487.187       18360.656       410.447
39491.091       18354.036       410.246
39494.272       18353.457       409.869
39497.003       18350.502       409.703
39498.375       18348.502       409.689
39505.977       18342.860       409.816
39510.384       18347.528       409.393
39451.706       18400.922       409.234
39447.257       18404.489       408.957
39442.992       18401.862       408.805
39434.607       18419.006       407.426
39432.398       18412.824       407.516
39428.067       18416.848       406.400
39422.853       18366.769       410.930
39415.739       18361.954       411.138
39384.125       18392.788       408.998
39402.449       18397.264       410.411         g=4.0
39322.460       18456.103       411.195         g=2.5
39184.266       18638.506       416.547
39158.359       18661.547       417.201
39116.106       18718.237       417.046
39134.222       18667.876       417.353
39115.019       18687.532       418.888         g=4.1
39093.527       18702.726       416.722         g=2.0
39110.030       18699.289       417.180         g=1.8
39106.903       18729.558       416.706
39088.238       18947.522       416.207         g=2.2
39075.623       18760.719       415.582         g=2.2
39004.700       18830.143       412.319         g=2.8
38991.091       18843.175       412.640         g=1.9
38996.939       18812.829       411.200         g=3.5
38976.031       18857.617       412.633         g=2.0
38956.744       18881.883       411.460
38902.438       18938.343       412.584         g=5.9
38891.609       18957.699       413.414         g=4.3
38894.367       18975.252       415.760         g=1.8
38881.735       18932.245       412.577
38865.168       18945.812       411.770         g=2.3
38829.790       18988.676       415.444
38845.816       18973.042       415.102
38837.924       19002.324       416.260
38759.598       19057.278       414.585
38728.470       19109.293       417.847
38693.173       19137.482       418.751         g=1.9
